Member ID,Last Name,First Name,Street,Apt/Ste/Unit,City,State,Zip Code
user1@example.com,Smith,John,123 Main St,Apt 1A,New York,NY,10001
user2@example.com,Johnson,Emily,456 Oak St,Ste 200,Los Angeles,CA,90001
user3@example.com,Williams,Michael,789 Pine St,Unit 5B,Chicago,IL,60601
user4@example.com,Brown,Jessica,101 Maple St,,Houston,TX,77001
user5@example.com,Jones,David,202 Elm St,,Phoenix,AZ,85001
user6@example.com,Garcia,Maria,303 Birch St,Apt 2C,Philadelphia,PA,19101
user7@example.com,Miller,Robert,404 Cedar St,Ste 3D,San Antonio,TX,78201
user8@example.com,Davis,Sarah,505 Spruce St,Unit 4E,San Diego,CA,92101
user9@example.com,Rodriguez,Daniel,606 Willow St,Apt 5F,Dallas,TX,75201
user10@example.com,Martinez,Ashley,707 Poplar St,,San Jose,CA,95101
